test,bearing,role,primary,K,n_snap,n_construct,healthy_far,onset_idx,onset_pct,lead_h,persistence,rho_occ,occ_q1,occ_q2,occ_q3,occ_q4,occ_q5,ci_eol_lo,ci_eol_hi,ci_q_lo,ci_q_hi,eol_med,healthy_med,e3_onset_pct,e3_delay_pct
test1,1,control,True,2,2156,431,0.020479134466769706,2135,99.02597402597402,10.206666666665114,1.0,,0.0,0.0,0.0,0.0,0.06086956521739131,0.3630928687553381,0.6789330549893562,0.1012691832683418,0.30443452710367475,-2.22623622499162,-2.7282331476776296,,
test1,2,control,True,2,2156,431,0.013523956723338485,1805,83.71985157699443,83.71666666667443,0.21937321937321938,,0.0,0.0,0.0,0.020289855072463767,0.21159420289855072,2.6035340781688094,3.2764038357174714,1.3835434615937519,1.5764808643552883,0.5548260008690913,-2.3745807004102195,,
test1,3,failed,True,2,2156,431,0.06916537867078826,1832,84.9721706864564,79.21666666667443,0.9351851851851852,0.8999999999999998,0.005797101449275362,0.011594202898550725,0.02318840579710145,0.017391304347826087,0.8898550724637682,20.063725993921185,26.440540959687308,8.640901828071733,10.423350427051542,20.543532123714165,-1.678500686096346,98.93320964749536,13.96103896103896
test1,4,failed,True,3,2156,431,0.010819165378670788,1488,69.01669758812616,148.39694444445195,0.9820359281437125,0.9999999999999999,0.005797101449275362,0.011594202898550725,0.020289855072463767,0.9188405797101449,1.0,56.5694412268848,58.74908879645645,54.34953602407687,55.25602808569572,52.36178290478455,-4.913402426710487,,
test2,1,failed,True,1,984,196,0.015202702702702704,537,54.573170731707314,74.33333333331393,0.9955257270693513,0.9486832980505138,0.0,0.0,0.8291139240506329,1.0,1.0,390.78463765413846,519.2444510772239,218.58518240993354,239.0561858852307,463.5299744037765,-2.680788639198754,65.7520325203252,11.178861788617885
test2,2,control,True,1,984,196,0.0008445945945945946,779,79.16666666666667,34.0,0.9658536585365853,,0.0,0.0,0.0,0.28662420382165604,1.0,151.97277170724269,197.65964282704402,48.53569703157071,68.65073112422208,169.54470174505235,-3.387195014808664,,
test2,3,control,True,1,984,196,0.03885135135135135,738,75.0,40.83333333331393,0.975609756097561,,0.0,0.0,0.0,0.5414012738853503,1.0,203.9458871601491,217.29904116003095,69.30374233434549,95.40001736011085,209.3574244828718,-1.942992537139299,,
test2,4,control,True,1,984,196,0.005067567567567568,701,71.23983739837398,47.0,1.0,,0.0,0.0,0.006329113924050633,0.802547770700637,1.0,212.75711758746624,240.19041547238632,51.32671307688892,69.61102860107457,218.09586140211104,-2.843966225775141,,
test3,1,control,False,2,6324,1264,0.016464699683877766,5967,94.35483870967742,59.33333333331393,0.6470588235294118,,0.0,0.0,0.0,0.0,0.22826086956521738,4.730043923251406,6.302831689490634,0.8009938663982676,0.9539128060593596,2.7993369809370527,-2.7362537680138104,,
test3,2,control,False,2,6324,1264,0.02054794520547945,6149,97.23276407337129,29.0,1.0,,0.005928853754940711,0.003952569169960474,0.001976284584980237,0.003952569169960474,0.18873517786561264,5.70664979528618,39.81698470171028,1.0683998346973937,1.1900731627921854,28.21193625207632,-2.581923374079508,,
test3,3,failed,False,2,6324,1264,0.010669125395152792,4485,70.9203036053131,313.3494444444077,0.3295269168026101,0.9746794344808964,0.0,0.0,0.015810276679841896,0.09288537549407115,0.5306324110671937,37.928238135236015,138.7269142243906,3.2457704599963346,3.5313097813639094,94.87744671464164,-2.782818659161475,,
test3,4,control,False,2,6324,1264,0.1620126448893572,2037,32.210626185958255,729.6263888888643,0.38255190109633774,,0.003952569169960474,0.29051383399209485,0.44960474308300397,0.36264822134387353,0.5138339920948617,14.33179582783637,36.086409137562384,2.991756622325374,3.185506297467416,28.827082971467572,-2.072725040360658,,
